date,merchant,category,amount
2025-08-21 17:15:16.097123,Spotify,Entertainment,79.99
2025-08-21 17:15:16.097123,Local Store,Miscellaneous,50.44
2025-08-21 17:15:16.097123,Amazon,Shopping,76.99
2025-08-21 17:15:16.097123,Uber,Transport,90.33
2025-08-22 17:15:16.097123,Chipotle,Food & Dining,71.62
2025-08-22 17:15:16.097123,Amazon,Shopping,43.66
2025-08-23 17:15:16.097123,Chipotle,Food & Dining,98.82
2025-08-23 17:15:16.097123,AT&T,Bills & Utilities,44.5
2025-08-24 17:15:16.097123,Walmart,Shopping,94.9
2025-08-25 17:15:16.097123,Walgreens,Miscellaneous,18.77
2025-08-25 17:15:16.097123,AT&T,Bills & Utilities,34.81
2025-08-25 17:15:16.097123,Lyft,Transport,59.63
2025-08-26 17:15:16.097123,McDonald's,Food & Dining,10.9
2025-08-26 17:15:16.097123,Walmart,Shopping,36.06
2025-08-27 17:15:16.097123,Walgreens,Miscellaneous,97.5
2025-08-27 17:15:16.097123,AMC Theatres,Entertainment,109.93
2025-08-28 17:15:16.097123,AMC Theatres,Entertainment,95.73
2025-08-28 17:15:16.097123,AT&T,Bills & Utilities,95.88
2025-08-29 17:15:16.097123,Netflix,Entertainment,9.09
2025-08-29 17:15:16.097123,Netflix,Entertainment,9.88
2025-08-30 17:15:16.097123,Lyft,Transport,74.58
2025-08-30 17:15:16.097123,Trader Joe's,Groceries,97.13
2025-08-30 17:15:16.097123,Uber Eats,Food & Dining,47.29
2025-08-30 17:15:16.097123,Netflix,Entertainment,117.44
2025-08-31 17:15:16.097123,Starbucks,Food & Dining,29.28
2025-08-31 17:15:16.097123,Spotify,Entertainment,85.4
2025-09-01 17:15:16.097123,Spotify,Entertainment,113.25
2025-09-01 17:15:16.097123,Chipotle,Food & Dining,92.38
2025-09-01 17:15:16.097123,Target,Shopping,67.61
2025-09-02 17:15:16.097123,Lyft,Transport,12.18
2025-09-02 17:15:16.097123,Walgreens,Miscellaneous,64.28
2025-09-02 17:15:16.097123,Spotify,Entertainment,105.4
2025-09-03 17:15:16.097123,Netflix,Entertainment,54.83
2025-09-04 17:15:16.097123,McDonald's,Food & Dining,108.24
2025-09-04 17:15:16.097123,Amazon,Shopping,8.36
2025-09-05 17:15:16.097123,CVS,Miscellaneous,113.43
2025-09-05 17:15:16.097123,Whole Foods,Groceries,49.3
2025-09-05 17:15:16.097123,Spectrum,Bills & Utilities,57.58
2025-09-05 17:15:16.097123,Exxon,Transport,93.52
2025-09-06 17:15:16.097123,Lyft,Transport,68.32
2025-09-07 17:15:16.097123,Uber,Transport,108.86
2025-09-07 17:15:16.097123,Uber Eats,Food & Dining,101.33
2025-09-07 17:15:16.097123,Walgreens,Miscellaneous,54.45
2025-09-08 17:15:16.097123,Amazon,Shopping,110.29
2025-09-08 17:15:16.097123,AT&T,Bills & Utilities,54.93
2025-09-08 17:15:16.097123,Electric Co,Bills & Utilities,55.33
2025-09-09 17:15:16.097123,Trader Joe's,Groceries,89.84
2025-09-10 17:15:16.097123,Walmart,Shopping,57.2
2025-09-10 17:15:16.097123,McDonald's,Food & Dining,32.64
2025-09-10 17:15:16.097123,Walgreens,Miscellaneous,45.91
2025-09-11 17:15:16.097123,CVS,Miscellaneous,56.69
2025-09-11 17:15:16.097123,Target,Shopping,83.28
2025-09-11 17:15:16.097123,Exxon,Transport,60.23
2025-09-12 17:15:16.097123,Uber Eats,Food & Dining,68.66
2025-09-12 17:15:16.097123,Local Store,Miscellaneous,39.03
2025-09-12 17:15:16.097123,Lyft,Transport,12.58
2025-09-12 17:15:16.097123,Starbucks,Food & Dining,24.29
2025-09-13 17:15:16.097123,Lyft,Transport,114.16
2025-09-14 17:15:16.097123,Starbucks,Food & Dining,67.52
2025-09-15 17:15:16.097123,Spectrum,Bills & Utilities,87.0
2025-09-15 17:15:16.097123,Netflix,Entertainment,119.61
